"Fecha";"AÑO.x";"MES.x";"pernoc.x.x";"pernoc.y.x";"pernoc.x.y";"AÑO.y";"MES.y";"pernoc.y.y";"ymin";"ymax"
2019-01-01;2019;1;15484360;NA;NA;NA;NA;NA;NA;NA
2019-02-01;2019;2;16568558;NA;NA;NA;NA;NA;NA;NA
2019-03-01;2019;3;21497153;NA;NA;NA;NA;NA;NA;NA
2019-04-01;2019;4;26782138;NA;NA;NA;NA;NA;NA;NA
2019-05-01;2019;5;31884272;NA;NA;NA;NA;NA;NA;NA
2019-06-01;2019;6;37136189;NA;NA;NA;NA;NA;NA;NA
2019-07-01;2019;7;43170472;NA;NA;NA;NA;NA;NA;NA
2019-08-01;2019;8;47023417;NA;NA;NA;NA;NA;NA;NA
2019-09-01;2019;9;37545501;NA;NA;NA;NA;NA;NA;NA
2019-10-01;2019;10;30337943;NA;NA;NA;NA;NA;NA;NA
2019-11-01;2019;11;18312755;NA;NA;NA;NA;NA;NA;NA
2019-12-01;2019;12;16944658;NA;NA;NA;NA;NA;NA;NA
2020-01-01;2020;1;15946942;15825397,4373931;15825397,4373931;2020;1;15946942;15825397,4373931;15946942
2020-02-01;2020;2;17590340;17121106,0661184;17121106,0661184;2020;2;17590340;17121106,0661184;17590340
2020-03-01;2020;3;8361211;22112811,0306873;22112811,0306873;2020;3;8361211;8361211;22112811,0306873
2020-04-01;2020;4;0;26868492,1711784;26868492,1711784;2020;4;0;0;26868492,1711784
2020-05-01;2020;5;263494;32351284,6791721;32351284,6791721;2020;5;263494;263494;32351284,6791721
2020-06-01;2020;6;1821576;37279220,4725698;37279220,4725698;2020;6;1821576;1821576;37279220,4725698
2020-07-01;2020;7;11719938;43707402,4868472;43707402,4868472;2020;7;11719938;11719938;43707402,4868472
2020-08-01;2020;8;16914136;47438135,4408986;47438135,4408986;2020;8;16914136;16914136;47438135,4408986
2020-09-01;2020;9;8207051;38291806,7825352;38291806,7825352;2020;9;8207051;8207051;38291806,7825352
2020-10-01;2020;10;5117856;31276676,9635107;31276676,9635107;2020;10;5117856;5117856;31276676,9635107
2020-11-01;2020;11;2865542;18859914,3045144;18859914,3045144;2020;11;2865542;2865542;18859914,3045144
2020-12-01;2020;12;3236581;17469190,3229823;17469190,3229823;2020;12;3236581;3236581;17469190,3229823
2021-01-01;2021;1;2450072;16411446,6502361;16411446,6502361;2021;1;2450072;2450072;16411446,6502361
2021-02-01;2021;2;2426097;17645967,9317858;17645967,9317858;2021;2;2426097;2426097;17645967,9317858
2021-03-01;2021;3;3577491;22631103,9629797;22631103,9629797;2021;3;3577491;3577491;22631103,9629797
2021-04-01;2021;4;4132404;27381179,1852555;27381179,1852555;2021;4;4132404;4132404;27381179,1852555
2021-05-01;2021;5;7328825;32859187,6107746;32859187,6107746;2021;5;7328825;7328825;32859187,6107746
2021-06-01;2021;6;14238887;37783040,6751267;37783040,6751267;2021;6;14238887;14238887;37783040,6751267
2021-07-01;2021;7;26330963;44207738,4943578;44207738,4943578;2021;7;26330963;26330963;44207738,4943578
2021-08-01;2021;8;34437141;47935498,0414097;47935498,0414097;2021;8;34437141;34437141;47935498,0414097
2021-09-01;2021;9;25661222;38786631,8818253;38786631,8818253;2021;9;25661222;25661222;38786631,8818253
2021-10-01;2021;10;23917422;31769336,562939;31769336,562939;2021;10;23917422;23917422;31769336,562939
2021-11-01;2021;11;14913915;19350725,8695011;19350725,8695011;2021;11;14913915;14913915;19350725,8695011
2021-12-01;2021;12;13206587;17958424,7780568;17958424,7780568;2021;12;13206587;13206587;17958424,7780568
2022-01-01;2022;1;10588353;16899335,2019988;16899335,2019988;2022;1;10588353;10588353;16899335,2019988
2022-02-01;2022;2;13611173;18132707,8916142;18132707,8916142;2022;2;13611173;13611173;18132707,8916142
2022-03-01;2022;3;17616159;23116863,7161172;23116863,7161172;2022;3;17616159;17616159;23116863,7161172
2022-04-01;2022;4;25180194;27866102,4314245;27866102,4314245;2022;4;25180194;25180194;27866102,4314245
2022-05-01;2022;5;29764515;33343396,9831098;33343396,9831098;2022;5;29764515;29764515;33343396,9831098
2022-06-01;2022;6;35088231;38266640,8285676;38266640,8285676;2022;6;35088231;35088231;38266640,8285676
2022-07-01;2022;7;42096221;44690818,7412778;44690818,7412778;2022;7;42096221;42096221;44690818,7412778
2022-08-01;2022;8;46108020;48418134,6008587;48418134,6008587;2022;8;46108020;46108020;48418134,6008587
2022-09-01;2022;9;35973048;39268889,7990302;39268889,7990302;2022;9;35973048;35973048;39268889,7990302
2022-10-01;2022;10;29840572;32251271,3474017;32251271,3474017;2022;10;29840572;29840572;32251271,3474017
2022-11-01;2022;11;17639224;19832384,8929504;19832384,8929504;2022;11;17639224;17639224;19832384,8929504
2022-12-01;2022;12;16609142;18439848,4674572;18439848,4674572;2022;12;16609142;16609142;18439848,4674572
2023-01-01;2023;1;15455253;17380558,0576631;17380558,0576631;2023;1;15455253;15455253;17380558,0576631
2023-02-01;2023;2;16799016;18613759,3560595;18613759,3560595;2023;2;16799016;16799016;18613759,3560595
2023-03-01;2023;3;20631205;23597768,9155446;23597768,9155446;2023;3;20631205;20631205;23597768,9155446
2023-04-01;2023;4;28068009;28346882,8084979;28346882,8084979;2023;4;28068009;28068009;28346882,8084979
2023-05-01;2023;5;32383580;33824070,8369673;33824070,8369673;2023;5;32383580;32383580;33824070,8369673
2023-06-01;2023;6;36232170;38747223,7756671;38747223,7756671;2023;6;36232170;36232170;38747223,7756671
