"AÑO","MES","LUGAR_RESIDENCIA","PROVINCIA","VIAJEROS","PERNOCTACIONES","ESTANCIA_MEDIA","HABITACIONES_ESTIMADAS","PLAZAS_ESTIMADAS","GRADO_OCUPA_PLAZAS","GRADO_OCUPA_PLAZAS_FIN_SEMANA","GRADO_OCUPA_POR_HABITANTES","PERSONAL_EMPLEADO"
1999,1,"Residentes en España","Álava",15989,26755,1.7,0,0,34.3,NA,41.8,336
1999,1,"Residentes en el Extranjero","Álava",2207,4532,1.7,0,0,34.3,NA,41.8,336
1999,1,"Total","Álava",18196,31287,1.7,0,0,34.3,NA,41.8,336
1999,2,"Residentes en España","Álava",14896,26760,1.8,0,0,38.1,NA,47.1,425
1999,2,"Residentes en el Extranjero","Álava",2735,5099,1.8,0,0,38.1,NA,47.1,425
1999,2,"Total","Álava",17631,31859,1.8,0,0,38.1,NA,47.1,425
1999,3,"Residentes en España","Álava",17494,32015,1.8,0,0,40.4,NA,50.3,434
1999,3,"Residentes en el Extranjero","Álava",3291,6095,1.8,0,0,40.4,NA,50.3,434
1999,3,"Total","Álava",20785,38110,1.8,0,0,40.4,NA,50.3,434
1999,4,"Residentes en España","Álava",18184,32855,1.8,0,0,45,NA,52.3,470
1999,4,"Residentes en el Extranjero","Álava",4371,7804,1.8,0,0,45,NA,52.3,470
1999,4,"Total","Álava",22555,40659,1.8,0,0,45,NA,52.3,470
1999,5,"Residentes en España","Álava",16473,31713,1.9,0,0,44.8,NA,57.1,433
1999,5,"Residentes en el Extranjero","Álava",5881,9621,1.9,0,0,44.8,NA,57.1,433
1999,5,"Total","Álava",22354,41334,1.9,0,0,44.8,NA,57.1,433
1999,6,"Residentes en España","Álava",16056,30466,1.9,0,0,42.9,NA,54,448
1999,6,"Residentes en el Extranjero","Álava",4964,8341,1.9,0,0,42.9,NA,54,448
1999,6,"Total","Álava",21020,38807,1.9,0,0,42.9,NA,54,448
1999,7,"Residentes en España","Álava",17405,38216,2,0,0,52.5,NA,61.8,422
1999,7,"Residentes en el Extranjero","Álava",6774,10896,2,0,0,52.5,NA,61.8,422
1999,7,"Total","Álava",24179,49112,2,0,0,52.5,NA,61.8,422
1999,8,"Residentes en España","Álava",19084,42073,2,0,0,60.4,NA,64.9,422
1999,8,"Residentes en el Extranjero","Álava",9089,14915,2,0,0,60.4,NA,64.9,422
1999,8,"Total","Álava",28173,56988,2,0,0,60.4,NA,64.9,422
1999,9,"Residentes en España","Álava",17722,35946,2,0,0,52.5,NA,64.5,354
1999,9,"Residentes en el Extranjero","Álava",6431,11994,2,0,0,52.5,NA,64.5,354
1999,9,"Total","Álava",24153,47940,2,0,0,52.5,NA,64.5,354
1999,10,"Residentes en España","Álava",19502,41515,2.1,0,0,53.3,NA,63.5,362
1999,10,"Residentes en el Extranjero","Álava",4529,8428,2.1,0,0,53.3,NA,63.5,362
1999,10,"Total","Álava",24031,49943,2.1,0,0,53.3,NA,63.5,362
1999,11,"Residentes en España","Álava",15559,30715,2,0,0,41.4,NA,51.5,367
1999,11,"Residentes en el Extranjero","Álava",3490,6820,2,0,0,41.4,NA,51.5,367
1999,11,"Total","Álava",19049,37535,2,0,0,41.4,NA,51.5,367
1999,12,"Residentes en España","Álava",15558,30536,2,0,0,39.3,NA,47.3,334
1999,12,"Residentes en el Extranjero","Álava",2035,4202,2,0,0,39.3,NA,47.3,334
1999,12,"Total","Álava",17593,34738,2,0,0,39.3,NA,47.3,334
2000,1,"Residentes en España","Álava",12048,26373,2.1,0,0,36.1,NA,46.7,346
2000,1,"Residentes en el Extranjero","Álava",2992,5767,2.1,0,0,36.1,NA,46.7,346
2000,1,"Total","Álava",15040,32140,2.1,0,0,36.1,NA,46.7,346
2000,2,"Residentes en España","Álava",14462,28810,2,0,0,39.2,NA,51.9,373
2000,2,"Residentes en el Extranjero","Álava",2257,4875,2,0,0,39.2,NA,51.9,373
2000,2,"Total","Álava",16719,33685,2,0,0,39.2,NA,51.9,373
2000,3,"Residentes en España","Álava",18828,33660,1.8,0,0,43.5,NA,57.1,379
2000,3,"Residentes en el Extranjero","Álava",4429,7261,1.8,0,0,43.5,NA,57.1,379
2000,3,"Total","Álava",23257,40921,1.8,0,0,43.5,NA,57.1,379
2000,4,"Residentes en España","Álava",18354,33725,1.8,0,0,45,NA,55.9,414
2000,4,"Residentes en el Extranjero","Álava",5479,8437,1.8,0,0,45,NA,55.9,414
2000,4,"Total","Álava",23833,42162,1.8,0,0,45,NA,55.9,414
2000,5,"Residentes en España","Álava",19522,35918,1.8,0,0,46.3,NA,58.5,417
2000,5,"Residentes en el Extranjero","Álava",5661,8640,1.8,0,0,46.3,NA,58.5,417
2000,5,"Total","Álava",25183,44558,1.8,0,0,46.3,NA,58.5,417
2000,6,"Residentes en España","Álava",20432,36535,1.7,0,0,47.2,NA,58.2,423
2000,6,"Residentes en el Extranjero","Álava",5619,8540,1.7,0,0,47.2,NA,58.2,423
2000,6,"Total","Álava",26051,45075,1.7,0,0,47.2,NA,58.2,423
2000,7,"Residentes en España","Álava",21204,41089,1.9,0,0,55.3,NA,65.5,433
2000,7,"Residentes en el Extranjero","Álava",8133,13288,1.9,0,0,55.3,NA,65.5,433
2000,7,"Total","Álava",29337,54377,1.9,0,0,55.3,NA,65.5,433
2000,8,"Residentes en España","Álava",18938,38353,1.9,0,0,53.6,NA,57.3,422
2000,8,"Residentes en el Extranjero","Álava",8633,12770,1.9,0,0,53.6,NA,57.3,422
2000,8,"Total","Álava",27571,51123,1.9,0,0,53.6,NA,57.3,422
2000,9,"Residentes en España","Álava",19886,36986,1.9,0,0,54.5,NA,67,403
2000,9,"Residentes en el Extranjero","Álava",7532,13983,1.9,0,0,54.5,NA,67,403
2000,9,"Total","Álava",27418,50969,1.9,0,0,54.5,NA,67,403
2000,10,"Residentes en España","Álava",18893,36921,1.9,0,0,49.2,NA,62.9,401
2000,10,"Residentes en el Extranjero","Álava",6148,10767,1.9,0,0,49.2,NA,62.9,401
2000,10,"Total","Álava",25041,47688,1.9,0,0,49.2,NA,62.9,401
2000,11,"Residentes en España","Álava",18043,35943,2,0,0,45.2,NA,58.9,416
2000,11,"Residentes en el Extranjero","Álava",3266,6371,2,0,0,45.2,NA,58.9,416
2000,11,"Total","Álava",21309,42314,2,0,0,45.2,NA,58.9,416
2000,12,"Residentes en España","Álava",15055,31636,2.1,0,0,42.6,NA,54.2,384
2000,12,"Residentes en el Extranjero","Álava",2838,5810,2.1,0,0,42.6,NA,54.2,384
2000,12,"Total","Álava",17893,37446,2.1,0,0,42.6,NA,54.2,384
2001,1,"Residentes en España","Álava",14784,31675,2.2,0,2779,43.38,53.68,53.68,389
2001,1,"Residentes en el Extranjero","Álava",2214,5737,2.2,0,2779,43.38,53.68,53.68,389
2001,1,"Total","Álava",16998,37412,2.2,0,2779,43.38,53.68,53.68,389
2001,2,"Residentes en España","Álava",15603,34274,2.22,0,2907,49.77,63.58,63.58,427
2001,2,"Residentes en el Extranjero","Álava",2651,6300,2.22,0,2907,49.77,63.58,63.58,427
2001,2,"Total","Álava",18254,40574,2.22,0,2907,49.77,63.58,63.58,427
2001,3,"Residentes en España","Álava",17962,37040,2.06,0,2933,49.52,63.33,63.33,420
2001,3,"Residentes en el Extranjero","Álava",3877,8036,2.06,0,2933,49.52,63.33,63.33,420
2001,3,"Total","Álava",21839,45075,2.06,0,2933,49.52,63.33,63.33,420
2001,4,"Residentes en España","Álava",17348,38235,2.17,0,2929,53.25,65.11,65.11,424
2001,4,"Residentes en el Extranjero","Álava",4262,8703,2.17,0,2929,53.25,65.11,65.11,424
2001,4,"Total","Álava",21610,46938,2.17,0,2929,53.25,65.11,65.11,424
2001,5,"Residentes en España","Álava",19092,38353,2.01,0,2987,50.91,66.06,66.06,436
2001,5,"Residentes en el Extranjero","Álava",4433,8892,2.01,0,2987,50.91,66.06,66.06,436
2001,5,"Total","Álava",23525,47245,2.01,0,2987,50.91,66.06,66.06,436
