"AÑO","MES","PROVINCIA","INDICADOR_ADR","TASA_VARIACION_ADR","INDICADOR_RVPAR","TASA_VARIACION_RVPAR"
2021,1,"La Coruña",44.72,-10.82,4.99,-65.74
2021,2,"La Coruña",42.88,-16.65,5.39,-69.24
2021,3,"La Coruña",45.29,-7.33,8.02,-22.46
2021,4,"La Coruña",47.23,0,9.04,0
2021,5,"La Coruña",53.9,0,12.29,0
2021,6,"La Coruña",57.71,12.8,20.02,115.33
2021,7,"La Coruña",67.63,18.8,36.7,93.69
2021,8,"La Coruña",77.24,23.61,55.11,107.7
2021,9,"La Coruña",63.94,25.45,35.14,179.24
2021,10,"La Coruña",65.44,38.49,30.6,234.25
2021,11,"La Coruña",59.83,40.33,21.89,306.87
2021,12,"La Coruña",56.25,27.3,15.67,208.88
2022,1,"La Coruña",49.78,11.32,11.72,134.99
2022,2,"La Coruña",51.82,20.85,16.53,206.77
2022,3,"La Coruña",53.16,17.39,19.23,139.86
2022,4,"La Coruña",65.7,39.09,30,231.93
2022,5,"La Coruña",68.85,27.75,36.31,195.52
2022,6,"La Coruña",72.84,26.22,42.15,110.54
2022,7,"La Coruña",75.24,11.25,49.03,33.58
2022,8,"La Coruña",83.65,8.3,61.63,11.84
2022,9,"La Coruña",75.16,17.54,48.32,37.51
2022,10,"La Coruña",70.94,8.4,39.79,30.05
2022,11,"La Coruña",59.59,-0.4,25.27,15.45
2022,12,"La Coruña",60.62,7.77,20.65,31.8
2023,1,"La Coruña",54.27,9.02,16.28,38.82
2023,2,"La Coruña",54.01,4.23,18.77,13.54
2023,3,"La Coruña",56.15,5.61,22.51,17.06
2023,4,"La Coruña",66.09,0.59,34.32,14.4
2023,5,"La Coruña",74.33,7.95,41.55,14.42
2023,6,"La Coruña",77.78,6.78,45.27,7.39
2023,7,"La Coruña",77.44,2.93,47.19,-3.76
2023,8,"La Coruña",85.68,2.42,62.48,1.38
2023,9,"La Coruña",79.83,6.21,51.06,5.67
2023,10,"La Coruña",77.27,8.93,45.17,13.53
2023,11,"La Coruña",62.04,4.11,25.33,0.23
2023,12,"La Coruña",59.9,-1.2,19.45,-5.79
2021,1,"Albacete",41.94,-11.12,7.41,-39.94
2021,2,"Albacete",43.55,-4.51,10.82,-37.46
2021,3,"Albacete",42.94,-9.13,11.34,0.55
2021,4,"Albacete",46.61,0,12.06,0
2021,5,"Albacete",45.92,0,14.44,0
2021,6,"Albacete",48.4,10.15,17.38,38.02
2021,7,"Albacete",48.51,4.83,18.46,18.57
2021,8,"Albacete",52.7,6.23,21.56,27.75
2021,9,"Albacete",50.82,8.26,21.31,49.32
2021,10,"Albacete",49.15,5.75,21.02,43.7
2021,11,"Albacete",48.28,12.88,19.46,86.9
2021,12,"Albacete",50.98,14.95,17.58,82.39
2022,1,"Albacete",47.72,13.77,12.14,63.88
2022,2,"Albacete",50.1,15.04,18.98,75.45
2022,3,"Albacete",49.74,15.82,16.55,45.93
2022,4,"Albacete",53.09,13.89,21.49,78.18
2022,5,"Albacete",49.16,7.06,21.4,48.15
2022,6,"Albacete",49.43,2.12,21.03,21.02
2022,7,"Albacete",49.35,1.73,19.08,3.35
2022,8,"Albacete",52.85,0.28,22.82,5.82
2022,9,"Albacete",55.01,8.25,26.87,26.08
2022,10,"Albacete",50.32,2.39,22.77,8.36
2022,11,"Albacete",50.07,3.72,22.55,15.87
2022,12,"Albacete",52.58,3.15,17.97,2.19
2023,1,"Albacete",50.93,6.73,15.84,30.41
2023,2,"Albacete",53.41,6.61,21.38,12.69
2023,3,"Albacete",52.46,5.47,21.57,30.38
2023,4,"Albacete",52.93,-0.3,24.45,13.81
2023,5,"Albacete",48.76,-0.82,21.62,1.03
2023,6,"Albacete",53.53,8.28,25.21,19.9
2023,7,"Albacete",52.68,6.77,22.77,19.34
2023,8,"Albacete",55.4,4.83,25.6,12.17
2023,9,"Albacete",59.94,8.96,30.72,14.34
2023,10,"Albacete",53,5.32,26.26,15.3
2023,11,"Albacete",51.64,3.13,25.36,12.46
2023,12,"Albacete",56.29,7.04,20.08,11.79
2021,1,"Alicante",57.57,-1.32,11.91,-61.36
2021,2,"Alicante",54.85,-9.47,10.58,-70.69
2021,3,"Alicante",69.53,24.13,17.17,-20.3
2021,4,"Alicante",82.29,0,22.4,0
2021,5,"Alicante",82.62,0,27.93,0
2021,6,"Alicante",91.81,48.79,42.92,224.58
2021,7,"Alicante",106.51,12.79,65.6,83.52
2021,8,"Alicante",123.35,21.03,96.44,80.93
2021,9,"Alicante",94.19,14.82,58.92,130.6
2021,10,"Alicante",79.69,17.9,47.98,140.9
