Year,Position,Province
2019,20,La Coruña
2020,28,La Coruña
2021,24,La Coruña
2022,19,La Coruña
2023,20,La Coruña
2019,46,Albacete
2020,43,Albacete
2021,41,Albacete
2022,42,Albacete
2023,44,Albacete
2019,6,Alicante
2020,5,Alicante
2021,6,Alicante
2022,7,Alicante
2023,6,Alicante
2019,17,Almería
2020,17,Almería
2021,18,Almería
2022,17,Almería
2023,18,Almería
2019,32,Álava
2020,29,Álava
2021,28,Álava
2022,29,Álava
2023,32,Álava
2019,27,Asturias
2020,30,Asturias
2021,29,Asturias
2022,27,Asturias
2023,28,Asturias
2019,29,Badajoz
2020,22,Badajoz
2021,23,Badajoz
2022,28,Badajoz
2023,23,Badajoz
2019,2,Barcelona
2020,1,Barcelona
2021,2,Barcelona
2022,2,Barcelona
2023,2,Barcelona
2019,21,Vizcaya
2020,26,Vizcaya
2021,26,Vizcaya
2022,21,Vizcaya
2023,19,Vizcaya
2019,26,Burgos
2020,25,Burgos
2021,22,Burgos
2022,25,Burgos
2023,27,Burgos
2019,30,Cantabria
2020,32,Cantabria
2021,32,Cantabria
2022,30,Cantabria
2023,30,Cantabria
2019,19,Castellón
2020,21,Castellón
2021,20,Castellón
2022,20,Castellón
2023,22,Castellón
2019,34,Ceuta
2020,40,Ceuta
2021,47,Ceuta
2022,47,Ceuta
2023,43,Ceuta
2019,47,Ciudad Real
2020,44,Ciudad Real
2021,42,Ciudad Real
2022,41,Ciudad Real
2023,40,Ciudad Real
2019,49,Cuenca
2020,48,Cuenca
2021,46,Cuenca
2022,48,Cuenca
2023,49,Cuenca
2019,38,Cáceres
2020,36,Cáceres
2021,33,Cáceres
2022,34,Cáceres
2023,34,Cáceres
2019,11,Cádiz
2020,10,Cádiz
2021,10,Cádiz
2022,10,Cádiz
2023,10,Cádiz
2019,39,Córdoba
2020,37,Córdoba
2021,38,Córdoba
2022,36,Córdoba
2023,36,Córdoba
2019,12,Guipúzcoa
2020,11,Guipúzcoa
2021,11,Guipúzcoa
2022,12,Guipúzcoa
2023,11,Guipúzcoa
2019,7,Gerona
2020,4,Gerona
2021,5,Gerona
2022,8,Gerona
2023,8,Gerona
2019,15,Granada
2020,18,Granada
2021,17,Granada
2022,15,Granada
2023,15,Granada
2019,41,Guadalajara
2020,38,Guadalajara
2021,37,Guadalajara
